"07022: Skatterekneskapsstatistikk. Akkumulerte tal (mill. kr), etter region, skatteart, statistikkvariabel og måned"

"region";"skatteart";"Skatt 2008M08";"Skatt 2008M09";"Skatt 2008M10";"Skatt 2008M11";"Skatt 2008M12";"Skatt 2009M01";"Skatt 2009M02";"Skatt 2009M03";"Skatt 2009M04";"Skatt 2009M05";"Skatt 2009M06";"Skatt 2009M07";"Skatt 2009M08";"Skatt 2009M09";"Skatt 2009M10";"Skatt 2009M11";"Skatt 2009M12";"Skatt 2010M01";"Skatt 2010M02";"Skatt 2010M03";"Skatt 2010M04";"Skatt 2010M05";"Skatt 2010M06";"Skatt 2010M07";"Skatt 2010M08";"Skatt 2010M09";"Skatt 2010M10";"Skatt 2010M11";"Skatt 2010M12";"Skatt 2011M01";"Skatt 2011M02";"Skatt 2011M03";"Skatt 2011M04";"Skatt 2011M05";"Skatt 2011M06";"Skatt 2011M07";"Skatt 2011M08";"Skatt 2011M09";"Skatt 2011M10";"Skatt 2011M11";"Skatt 2011M12";"Skatt 2012M01";"Skatt 2012M02";"Skatt 2012M03";"Skatt 2012M04";"Skatt 2012M05";"Skatt 2012M06";"Skatt 2012M07";"Skatt 2012M08";"Skatt 2012M09";"Skatt 2012M10";"Skatt 2012M11";"Skatt 2012M12";"Skatt 2013M01";"Skatt 2013M02";"Skatt 2013M03";"Skatt 2013M04";"Skatt 2013M05";"Skatt 2013M06";"Skatt 2013M07";"Skatt 2013M08";"Skatt 2013M09";"Skatt 2013M10";"Skatt 2013M11";"Skatt 2013M12";"Skatt 2014M01";"Skatt 2014M02";"Skatt 2014M03";"Skatt 2014M04";"Skatt 2014M05";"Skatt 2014M06";"Skatt 2014M07";"Skatt 2014M08";"Skatt 2014M09";"Skatt 2014M10";"Skatt 2014M11";"Skatt 2014M12";"Skatt 2015M01";"Skatt 2015M02";"Skatt 2015M03";"Skatt 2015M04";"Skatt 2015M05";"Skatt 2015M06";"Skatt 2015M07";"Skatt 2015M08";"Skatt 2015M09";"Skatt 2015M10";"Skatt 2015M11";"Skatt 2015M12";"Skatt 2016M01";"Skatt 2016M02";"Skatt 2016M03";"Skatt 2016M04";"Skatt 2016M05";"Skatt 2016M06";"Skatt 2016M07";"Skatt 2016M08";"Skatt 2016M09";"Skatt 2016M10";"Skatt 2016M11";"Skatt 2016M12";"Skatt 2017M01";"Skatt 2017M02";"Skatt 2017M03";"Skatt 2017M04";"Skatt 2017M05";"Skatt 2017M06";"Skatt 2017M07";"Skatt 2017M08";"Skatt 2017M09";"Skatt 2017M10";"Skatt 2017M11";"Skatt 2017M12";"Skatt 2018M01";"Skatt 2018M02";"Skatt 2018M03";"Skatt 2018M04";"Skatt 2018M05";"Skatt 2018M06";"Skatt 2018M07";"Skatt 2018M08";"Skatt 2018M09";"Skatt 2018M10";"Skatt 2018M11";"Skatt 2018M12";"Skatt 2019M01";"Skatt 2019M02";"Skatt 2019M03";"Skatt 2019M04";"Skatt 2019M05";"Skatt 2019M06";"Skatt 2019M07";"Skatt 2019M08";"Skatt 2019M09"
"01 Østfold";"Skatteinngang i alt";15022.4;18284.3;17885.0;22032.3;22323.1;2623.0;3662.6;6986.9;8240.7;11895.9;12077.0;14904.8;15063.3;18471.6;18149.4;22208.4;22471.1;2816.1;3557.6;7059.6;7910.3;11876.5;12074.9;14881.4;15055.0;18630.1;18283.8;22603.8;22835.8;3000.9;3801.1;7473.3;8229.3;12535.0;12653.1;15586.7;15754.7;19555.0;19321.7;23883.1;24143.2;3116.0;4035.7;7955.5;8670.3;13045.4;13242.4;16381.8;16667.1;20685.8;20605.6;25205.9;25356.3;3372.2;4212.1;8287.8;9143.2;13976.7;14097.5;17435.7;17692.5;21954.1;21867.2;26774.3;26928.0;3432.7;4355.0;8583.6;9420.3;14167.5;14363.4;17790.5;18001.7;22348.3;22300.9;27236.8;27380.9;3527.5;4382.5;8886.4;9703.2;14667.8;14957.5;18554.0;18873.5;23627.6;23550.0;28919.6;29167.3;3702.8;4619.6;9287.6;10220.5;15729.1;15924.0;19622.7;20050.9;24976.6;24832.9;30556.9;30727.1;3879.0;4762.0;9668.2;10654.7;16147.1;16327.6;20182.6;20612.1;25695.4;25609.6;31542.1;31720.2;4037.4;5151.2;10065.3;11193.6;16824.8;16969.4;20987.8;21305.8;26667.7;26778.0;32997.8;33218.7;4247.2;5344.6;10570.6;11639.2;17539.7;17708.1;21861.7;22163.2;27786.4
"02 Akershus";"Skatteinngang i alt";45006.6;54061.0;54108.3;65903.5;67171.4;7960.5;11233.3;21111.1;24942.9;36496.8;37094.3;44603.3;45092.2;54581.3;53533.6;65493.9;66309.8;8072.5;10870.5;20918.9;23828.0;38208.6;38894.1;46851.4;47272.1;57303.8;56171.3;69338.8;70046.5;8627.5;12349.8;23120.3;27334.3;41476.6;42051.6;50634.4;51086.9;61915.1;61523.9;75591.6;76449.3;9094.9;12796.9;24418.2;28733.9;44881.0;45459.4;54666.3;55374.7;67055.4;66837.8;80962.9;81520.5;9776.8;14362.2;26708.7;31338.3;46789.8;47490.3;56909.9;57624.0;70029.6;70083.0;84759.6;85436.1;10187.1;13372.5;26211.1;29372.9;44998.7;45647.6;55913.3;56652.2;69470.4;69073.9;84201.5;84723.4;10486.8;13747.0;27103.5;30397.6;46026.4;46897.6;57372.5;58344.0;72154.4;71743.1;87496.6;88708.1;10842.0;13827.9;27749.9;30971.6;48319.2;48914.3;59784.8;61163.1;75694.1;75584.7;92544.9;93184.1;11810.4;14771.2;29428.3;32630.1;50029.5;50913.9;62096.5;63324.2;78339.2;77982.9;97234.8;98595.4;11675.0;15470.4;30409.1;33930.5;51521.5;52542.2;64248.8;65310.6;81451.2;81760.0;101291.1;102112.2;12505.4;15980.9;32060.9;36008.7;54552.6;55436.5;67682.3;68758.3;85637.8
"03 Oslo";"Skatteinngang i alt";72663.9;83615.2;86428.2;104789.7;106141.0;12668.0;19864.6;34291.1;42569.5;60184.3;61413.0;72841.8;73560.2;87534.5;84026.6;104205.1;105573.7;12304.0;19189.8;32843.1;39497.9;68033.1;68565.9;80830.8;81336.5;95904.8;92909.1;112735.4;114465.5;13696.3;23045.4;38834.5;48435.3;70958.1;71809.5;84733.4;86128.1;101667.9;100287.3;125062.9;126472.8;14157.7;23343.8;40080.2;49360.9;71403.2;72058.8;85731.3;87044.5;103767.5;101317.9;122579.1;123614.8;14838.1;23423.9;40835.0;49193.2;75571.3;77603.5;92890.4;93948.7;111727.9;111884.1;135798.1;136631.1;15491.4;28680.1;47880.1;56638.0;78289.0;79853.5;95544.0;96645.7;114869.1;112180.2;135391.9;136377.2;15679.2;25264.9;44217.3;54240.1;78504.1;80050.2;96905.4;98183.6;117703.4;115862.3;139914.9;141315.2;16040.3;25487.1;44986.1;53562.4;79762.7;80855.8;97392.5;99283.8;119818.7;118940.7;145782.9;146821.4;17190.0;27021.8;47846.1;58356.6;94787.2;96901.9;113421.0;115168.7;136633.3;134523.5;164228.4;165565.0;17740.2;28425.7;50168.4;60960.9;88331.7;90251.7;107939.4;109547.3;132468.1;131780.5;163812.1;165219.6;18849.8;31091.9;53608.0;67361.8;94608.0;96765.3;115350.1;116701.5;140582.5
"04 Hedmark";"Skatteinngang i alt";9112.2;11300.4;11252.2;13902.6;14127.6;1856.3;2311.5;4585.7;5133.9;7581.6;7700.4;9517.4;9603.1;11894.5;11698.3;14532.7;14701.0;1898.2;2352.6;4683.8;5103.8;7757.3;7899.7;9792.9;9879.5;12293.8;12089.9;14919.4;15061.9;2038.2;2540.2;4961.4;5448.2;8208.9;8271.0;10228.6;10317.3;12825.0;12699.3;15534.9;15691.5;2094.4;2617.3;5221.8;5663.3;8530.9;8636.7;10701.2;10859.5;13552.7;13391.7;16410.9;16502.9;2232.0;2672.1;5451.7;5948.6;8984.5;9057.5;11307.4;11456.5;14310.0;14297.3;17451.8;17544.4;2300.1;2758.6;5569.0;6011.8;9077.4;9190.1;11462.8;11603.9;14496.1;14497.6;17713.1;17798.7;2338.6;2803.1;5753.6;6208.9;9375.4;9546.6;11926.2;12118.0;15243.2;15232.9;18691.2;18818.3;2436.1;2938.1;5985.1;6464.9;9876.3;10027.9;12429.4;12677.6;15933.0;15949.4;19494.3;19590.5;2541.5;3053.2;6198.2;6684.1;10181.2;10282.1;12803.4;13031.1;16358.6;16374.3;20124.8;20255.2;2544.8;3107.0;6372.2;6895.2;10551.4;10645.0;13279.7;13449.2;16931.4;17001.1;21064.7;21178.7;2825.2;3432.9;6821.3;7405.1;11095.6;11206.3;13932.3;14091.6;17747.2
"05 Oppland";"Skatteinngang i alt";9216.4;11379.9;11152.6;13748.3;13930.1;1810.8;2368.9;4402.7;5220.9;7569.9;7707.8;9406.6;9493.4;11735.3;11502.3;14312.4;14452.3;1809.8;2433.6;4699.0;5149.9;7673.6;7788.7;9568.5;9650.8;11997.0;11743.8;14458.3;14598.1;1932.7;2471.9;4824.2;5358.1;8045.5;8123.2;9974.9;10063.5;12512.1;12348.0;15317.0;15455.7;1966.2;2630.7;5115.8;5601.5;8371.7;8475.5;10427.3;10578.9;13163.7;13094.5;16001.8;16077.7;2103.8;2679.2;5282.6;5733.1;8665.1;8739.9;10812.3;10948.0;13657.7;13624.8;16608.4;16695.7;2149.3;2663.8;5337.5;5847.4;8900.8;9035.7;11154.0;11281.1;14051.7;14010.0;17130.2;17221.2;2228.4;2832.4;5654.1;6246.7;9292.0;9503.2;11746.6;11937.4;14930.5;14824.7;18151.0;18284.4;2304.6;2868.9;5765.4;6313.9;9650.2;9773.5;12043.7;12293.1;15410.4;15389.2;18885.7;18980.4;2415.4;2980.9;5996.4;6536.9;9910.1;10026.6;12372.2;12629.1;15824.8;15771.2;19458.0;19586.0;2468.6;3101.9;6187.0;6841.0;10271.6;10370.5;12835.6;13006.0;16360.6;16402.4;20211.2;20310.5;2616.0;3292.5;6492.4;7187.8;10712.9;10804.8;13318.5;13481.2;16969.3
"06 Buskerud";"Skatteinngang i alt";16104.4;19665.3;19505.8;24106.1;24436.3;3163.3;4198.7;7986.9;9477.1;13602.6;13876.2;16859.6;17035.3;20871.1;20345.1;24870.4;25173.4;3202.3;4334.5;8301.6;9465.5;14503.0;14656.3;17854.2;18016.9;21981.8;21629.8;26479.5;26790.2;3463.1;4814.6;8975.4;10307.7;15486.7;15610.1;18945.8;19132.7;23380.2;23130.4;28284.2;28551.7;3602.8;4956.6;9467.8;10787.5;15941.0;16173.7;19786.3;20075.9;24650.7;24585.6;30552.3;30750.8;3903.7;5253.1;10044.2;11295.1;16867.4;17004.9;20874.0;21162.5;25972.6;25952.9;31678.0;31864.2;3984.7;5207.2;10140.3;11330.9;16850.6;17152.9;21122.6;21419.9;26376.3;26224.4;32047.6;32234.7;4112.1;5405.7;10541.8;11786.5;17569.8;17892.4;22111.4;22459.8;27796.5;27671.2;33826.1;34183.0;4246.1;5510.0;10764.3;11969.5;18104.7;18353.7;22577.4;23107.8;28605.4;28513.0;34843.8;35112.9;4402.2;5710.0;11155.6;12406.3;18566.1;18797.7;23176.6;23657.6;29283.4;29243.0;35976.1;36217.3;4640.7;6061.0;11627.3;13086.1;19333.5;19491.6;24039.2;24449.4;30361.9;30333.9;37402.8;37602.4;4742.9;6126.9;11940.4;13430.2;19969.1;20182.9;24906.8;25252.9;31491.7
"07 Vestfold";"Skatteinngang i alt";13061.9;16062.3;16056.9;19805.7;20116.0;2407.8;3286.7;6433.2;7449.6;10895.6;11083.4;13604.7;13752.2;16913.3;16620.9;20214.9;20527.2;2637.4;3237.4;6498.8;7072.6;10830.1;11001.0;13623.2;13762.4;17064.3;16792.5;20693.8;20926.7;2759.9;3322.6;6673.5;7195.2;11161.3;11271.2;13979.3;14145.7;17677.7;17480.8;21636.1;21856.6;2911.8;3535.0;7153.2;7696.6;11813.3;11964.3;14896.0;15124.7;19321.3;19305.7;23629.6;23774.2;3114.1;3686.5;7547.1;8159.3;12636.7;12801.4;15930.4;16127.8;20095.2;20101.3;24591.5;24751.7;3182.5;3808.5;7733.2;8334.3;12725.6;12913.8;16088.7;16300.7;20396.0;20422.9;24993.3;25128.6;3230.5;3879.1;8121.1;8792.2;13448.1;13695.1;17062.5;17358.1;21743.7;21724.1;26561.0;26861.2;3349.5;4069.0;8380.5;9139.1;14133.9;14319.8;17697.9;18090.6;22588.3;22504.1;27559.4;27735.4;3531.2;4237.0;8660.3;9303.4;14324.9;14491.9;17989.7;18382.8;23042.3;22958.2;28261.5;28459.7;3633.1;4337.5;8869.3;9639.8;14712.6;14843.9;18527.9;18861.4;23688.6;23712.5;29219.0;29413.7;3818.8;4565.9;9314.8;10064.5;15361.5;15476.5;19286.5;19579.1;24693.3
"08 Telemark";"Skatteinngang i alt";9542.4;11703.4;11688.7;14430.7;14710.3;1865.7;2686.1;4945.2;6435.5;8798.6;8890.9;10719.9;10794.1;13026.0;12801.9;15445.3;15598.4;1880.3;2456.0;4712.4;5197.3;7741.5;7906.3;9759.3;9847.3;12177.8;11912.8;14596.4;14737.8;1970.8;2534.3;4891.6;5443.4;8175.0;8240.7;10181.9;10287.2;12752.3;12579.6;15670.0;15820.7;2045.7;2648.5;5132.6;5797.4;8614.9;8693.2;10731.6;10887.5;13478.3;13376.8;16358.2;16423.7;2175.2;2801.0;5408.0;6062.5;8970.0;9030.1;11173.5;11313.8;13982.4;13938.8;16918.4;16983.6;2167.4;2792.7;5429.3;6063.5;8953.7;9053.0;11229.0;11334.6;14057.8;14035.4;17048.9;17132.6;2199.9;2752.3;5524.9;6092.7;9160.3;9295.7;11550.2;11725.2;14643.6;14655.8;17909.9;18075.7;2214.9;2783.3;5584.6;6149.7;9345.7;9440.9;11700.6;11934.3;14923.9;14896.3;18483.8;18568.7;2376.5;2986.9;5909.7;6560.3;9819.0;9909.1;12416.5;12625.5;15694.5;15689.3;19180.6;19268.8;2422.4;3160.7;6129.4;6932.9;10239.0;10321.1;12785.4;12957.2;16147.0;16196.7;20338.9;20439.4;2568.3;3424.4;6524.9;7385.2;10899.5;10972.1;13536.6;13696.2;17054.9
"09 Aust-Agder";"Skatteinngang i alt";5817.5;7158.6;7057.9;8713.5;8868.2;1182.3;1578.6;2952.6;3485.3;5004.0;5087.1;6211.1;6266.4;7672.6;7578.9;9285.0;9405.0;1179.5;1512.1;2844.8;3170.0;4785.4;4856.0;5999.9;6059.2;7520.1;7320.5;9011.5;9082.4;1257.2;1583.6;3063.2;3378.3;5163.3;5207.5;6404.2;6474.8;8028.9;7978.0;9812.5;9933.1;1274.3;1673.2;3249.7;3636.4;5461.5;5516.5;6778.4;6909.5;8551.3;8496.4;10361.3;10423.4;1346.2;1736.2;3416.2;3804.1;5708.5;5769.5;7154.7;7254.1;8987.4;8984.7;10979.6;11035.6;1412.4;1764.3;3470.9;3831.2;5729.0;5872.7;7267.7;7359.8;9102.3;9084.1;11076.7;11242.9;1415.4;1736.0;3528.0;3875.8;5895.2;5982.1;7463.1;7591.4;9466.1;9453.9;11515.5;11644.3;1478.6;1849.5;3697.9;4046.2;6130.3;6199.9;7637.9;7831.0;9772.0;9741.6;11889.7;11949.6;1500.0;1828.5;3690.2;3996.1;6261.5;6295.1;7811.2;8083.5;10161.0;10149.2;12373.1;12449.2;1602.0;1937.7;3842.7;4196.2;6292.2;6350.3;7909.5;8041.2;10067.1;10101.4;12417.9;12493.5;1621.6;1959.2;3937.0;4336.0;6510.9;6568.9;8170.3;8270.0;10432.9
"10 Vest-Agder";"Skatteinngang i alt";10652.1;12937.9;12821.9;15910.0;16116.3;2104.8;2913.7;5434.6;6452.6;9089.1;9219.8;11202.6;11313.1;13716.0;13295.4;17500.7;17695.3;2059.4;3281.0;5573.8;6724.0;9766.9;9915.4;12010.0;12113.6;14656.2;13862.5;17670.0;17867.3;2372.4;3541.5;6187.2;7313.8;10831.2;10938.1;13142.9;13260.9;15982.8;15830.7;19045.2;19234.5;2312.9;3811.8;6592.0;8070.0;12767.7;12871.9;15234.5;15409.9;18302.6;18141.1;21481.6;21579.2;2505.0;3740.1;6718.2;8002.2;11336.6;11399.9;13897.4;14037.3;17099.3;17015.1;20503.1;20597.0;2573.1;4077.1;7142.3;8594.2;11907.6;12034.7;14608.5;14767.8;17871.7;17849.1;21482.0;21584.0;2617.1;3521.0;6782.3;8746.9;12204.0;12392.0;15044.5;15286.1;18625.8;18690.8;22540.2;22698.7;2635.4;4095.5;7288.7;8891.3;12467.3;12703.9;15317.5;15615.8;19010.5;18883.1;22784.9;22894.2;2655.5;3912.2;7145.7;8297.4;11814.6;11918.0;14581.1;14893.2;18330.5;18173.9;22089.9;22235.3;2712.6;3620.2;6967.6;8030.9;11674.6;11800.9;14553.0;14788.5;18350.2;18276.8;22462.6;22568.2;2877.2;3832.7;7321.4;8257.5;12187.8;12273.3;15137.9;15316.2;19067.8
"11 Rogaland";"Skatteinngang i alt";37731.1;45203.3;45086.4;55521.8;56642.9;7045.3;9940.7;18121.1;22135.9;31268.6;31561.2;39739.7;39951.1;47833.3;46850.7;59570.8;60571.6;7176.2;10403.4;18831.9;21789.1;35183.1;35591.7;43284.5;43616.4;51936.4;50215.6;61491.6;61979.0;7908.6;10629.0;19561.8;21903.0;34485.5;34811.3;42776.6;43123.8;52145.4;51541.5;63671.4;63557.8;8260.9;11405.1;21489.8;24023.2;35916.8;36154.6;45364.5;45880.7;55872.3;55632.6;68168.0;68567.7;9017.7;11614.6;22430.2;24875.1;38116.2;38714.9;48638.6;49137.8;59909.2;59695.0;72612.5;72780.8;9866.2;12586.1;24069.6;27033.1;40441.1;42176.7;52158.9;52314.8;63640.6;63119.5;77363.1;77778.9;9634.7;12482.0;23985.4;26528.5;39380.1;39796.2;48538.3;49183.8;60797.8;60220.0;73597.7;74165.7;9879.3;12322.1;23716.0;25895.5;39819.3;40430.8;49720.9;50527.5;61778.4;61247.5;74171.9;74581.7;9342.6;11521.5;22723.2;24853.6;37580.0;37863.6;46929.8;47678.9;58678.1;58363.4;71282.4;71624.7;9487.9;11446.3;22984.1;25608.0;38543.7;39200.6;48768.4;49308.1;60846.6;60644.4;73257.1;73868.7;9919.4;11929.1;24318.7;26386.1;40443.1;41055.7;50749.6;51388.3;63621.3
"12 Hordaland";"Skatteinngang i alt";31897.3;38954.9;38514.9;48059.2;48681.4;6384.2;8955.0;16384.2;19582.4;27644.0;28049.7;34166.3;34388.7;41757.9;40731.8;50421.8;50840.4;6404.0;9000.8;16141.6;18223.7;28315.1;28727.0;34883.5;35145.1;42784.6;41542.8;50547.8;51152.8;6813.5;9183.4;17058.3;19390.0;29579.2;29851.0;36338.1;36770.7;44930.1;44432.9;55088.5;55610.2;7141.1;10041.0;18657.0;21278.9;31489.0;31836.8;38823.9;39341.5;48155.2;48056.3;59552.8;59901.1;7662.2;10505.1;19735.1;22366.1;33159.5;33418.3;40869.5;41395.6;50850.2;50674.6;62171.9;62525.3;7967.8;10667.0;20657.6;23431.4;34567.8;35171.2;43008.4;43562.3;53301.9;52833.9;64694.6;65090.7;8155.8;10888.3;20859.0;23497.8;34839.6;35329.6;43350.1;44013.6;54452.2;54004.9;66402.5;66493.5;7938.1;10677.4;20679.2;23250.0;35340.7;35770.4;43795.2;44643.6;55003.4;54702.3;66856.4;67332.2;8400.5;10951.7;21279.1;24000.7;36124.0;36524.6;44670.2;45445.2;56065.2;55766.9;68884.2;69340.6;8618.9;11710.9;22193.2;25507.5;37609.7;38060.7;46552.7;47189.1;58217.4;58000.4;70965.4;71473.6;9213.2;12347.5;23299.4;26417.4;39045.9;39468.7;48376.8;48937.4;60630.7
"14 Sogn og Fjordane";"Skatteinngang i alt";5804.8;7121.1;7047.6;8686.4;8864.5;1178.9;1636.7;2944.2;3478.3;4908.9;5007.3;6141.1;6175.6;7567.8;7430.9;9088.6;9173.2;1190.9;1636.2;3057.1;3489.8;5080.0;5141.4;6300.9;6343.3;7797.8;7576.5;9342.5;9420.0;1282.9;1735.6;3201.1;3645.8;5401.2;5435.6;6625.8;6698.5;8259.5;8133.6;10000.9;10067.1;1332.9;1849.1;3398.1;3856.6;5739.8;5823.7;7123.2;7206.2;8854.9;8733.4;10656.0;10701.3;1420.4;1912.0;3556.0;4020.9;5952.3;6005.9;7368.7;7453.8;9200.3;9110.2;11097.3;11154.4;1442.0;1946.4;3638.6;4120.9;5989.1;6129.8;7533.7;7600.4;9378.2;9314.9;11527.4;11595.1;1455.6;2062.8;3821.2;4339.6;6270.5;6382.1;7861.0;7953.5;9830.2;9725.8;11884.5;12012.5;1537.7;2121.7;3914.3;4362.1;6500.2;6585.5;8067.7;8199.6;10150.9;10031.3;12216.1;12290.2;1591.6;2116.6;3963.6;4449.6;6777.8;6829.6;8393.9;8524.4;10517.3;10428.9;12884.1;12941.9;1642.3;2336.2;4227.1;4846.4;7021.5;7065.3;8677.6;8761.3;10867.2;10804.6;13250.5;13311.5;1707.2;2358.1;4322.7;4949.8;7326.0;7370.9;9024.9;9110.7;11292.0
